0, 1, 1, 0.05
0.1, 0.999998, 0.999996, 0.0500012
0.2, 0.999953, 0.999891, 0.0500335
0.3, 0.999685, 0.999269, 0.0502247
0.4, 0.998836, 0.997282, 0.0508337
0.5, 0.996898, 0.992701, 0.0522349
0.6, 0.99328, 0.984057, 0.0548727
0.7, 0.987395, 0.969816, 0.0592062
0.8, 0.978736, 0.948561, 0.0656539
0.9, 0.966945, 0.919135, 0.0745484
1, 0.951853, 0.880746, 0.0861051
1.1, 0.933496, 0.833018, 0.100407
1.2, 0.912111, 0.775999, 0.117403
1.3, 0.888113, 0.71013, 0.136922
1.4, 0.862054, 0.636179, 0.158689
1.5, 0.834577, 0.55517, 0.182354
1.6, 0.806377, 0.468308, 0.207518
1.7, 0.778156, 0.376914, 0.233747
1.8, 0.750596, 0.282373, 0.260598
1.9, 0.724339, 0.186114, 0.287621
2, 0.699973, 0.0895878, 0.314366
2.1, 0.678023, -0.00574858, 0.340394
2.2, 0.658921, -0.0984888, 0.365287
2.3, 0.64296, -0.187385, 0.388686
2.4, 0.630259, -0.271427, 0.410316
2.5, 0.620781, -0.349833, 0.429974
2.6, 0.614338, -0.422038, 0.447534
2.7, 0.610614, -0.487694, 0.462935
2.8, 0.609175, -0.546667, 0.476185
2.9, 0.609488, -0.59903, 0.487351
3, 0.610941, -0.64505, 0.496557
3.1, 0.612873, -0.685165, 0.503969
3.2, 0.614601, -0.719957, 0.509792
3.3, 0.615448, -0.75012, 0.514248
3.4, 0.614779, -0.776417, 0.517572
3.5, 0.612029, -0.79965, 0.519992
3.6, 0.606725, -0.820619, 0.521722
3.7, 0.598514, -0.840097, 0.522951
3.8, 0.587175, -0.858803, 0.523839
3.9, 0.572632, -0.877381, 0.524508
4, 0.554953, -0.896388, 0.525046
4.1, 0.534358, -0.916278, 0.5255
4.2, 0.511207, -0.937387, 0.525883
4.3, 0.485979, -0.959943, 0.526179
4.4, 0.459255, -0.984076, 0.526355
4.5, 0.431678, -1.00983, 0.52637
4.6, 0.40393, -1.03717, 0.526189
4.7, 0.376692, -1.06602, 0.525797
4.8, 0.350618, -1.09628, 0.525205
4.9, 0.326301, -1.12782, 0.524463
5, 0.304257, -1.16051, 0.523661
5.1, 0.284905, -1.19421, 0.522933
5.2, 0.268562, -1.2288, 0.522451
5.3, 0.255438, -1.26414, 0.52242
5.4, 0.245647, -1.3001, 0.523069
5.5, 0.239208, -1.33652, 0.524636
5.6, 0.236065, -1.37324, 0.527361
5.7, 0.236094, -1.41003, 0.531472
5.8, 0.239128, -1.44665, 0.537172
5.9, 0.244965, -1.48282, 0.544628
6, 0.253391, -1.51822, 0.55397
6.1, 0.264191, -1.55248, 0.565276
6.2, 0.277163, -1.58522, 0.578577
6.3, 0.29213, -1.61608, 0.593855
6.4, 0.308946, -1.64466, 0.611042
6.5, 0.327504, -1.67062, 0.630027
6.6, 0.347739, -1.69366, 0.650658
6.7, 0.369629, -1.71351, 0.672748
6.8, 0.393188, -1.73, 0.69608
6.9, 0.418465, -1.74302, 0.720414
7, 0.445533, -1.75252, 0.745489
7.1, 0.474471, -1.75856, 0.771031
7.2, 0.505355, -1.76125, 0.796757
7.3, 0.538241, -1.76074, 0.822376
7.4, 0.573145, -1.75727, 0.847597
7.5, 0.610028, -1.75108, 0.87213
7.6, 0.64878, -1.74245, 0.895693
7.7, 0.689207, -1.73165, 0.918008
7.8, 0.731017, -1.71893, 0.938811
7.9, 0.773813, -1.70454, 0.957854
8, 0.817091, -1.68867, 0.974904
8.1, 0.860234, -1.67146, 0.989748
8.2, 0.902524, -1.653, 1.0022
8.3, 0.943153, -1.63329, 1.01208
8.4, 0.981241, -1.6123, 1.01927
